=== BY CUMULATIVE TIME (top 80) ===
         38075122 function calls (34866011 primitive calls) in 10.394 seconds

   Ordered by: cumulative time
   List reduced from 1984 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     67/0    0.217    0.003    0.000          {method 'poll' of 'select.poll' objects}
   679389    0.208    0.000    2.621    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:530(_point_in_zone)
151972/15422    0.193    0.000    1.077    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
    61815    0.177    0.000    0.277    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
      185    0.169    0.001    4.280    0.023 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
     77/0    0.154    0.002    0.000          {built-in method time.sleep}
    22424    0.138    0.000    0.957    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:884(_resolve_overlap_assignments)
   870558    0.108    0.000    0.156    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(_safe_key)
   967166    0.101    0.000    0.101    0.000 {method 'append' of 'list' objects}
    11600    0.093    0.000    1.218    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:850(_detect_overlapping_zones)
   879984    0.091    0.000    0.091    0.000 {method 'items' of 'dict' objects}
      730    0.091    0.000    0.167    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:911(update_team_stats)
    37374    0.085    0.000    0.754    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:693(assign_zone_defender_coords)
  1209920    0.083    0.000    0.083    0.000 {built-in method builtins.id}
  139/133    0.082    0.001    1.381    0.010 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
    55460    0.077    0.000    0.174    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1494(calculate_defender_coords)
      185    0.062    0.000    8.405    0.045 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
   399671    0.062    0.000    0.062    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3150(get_away_player_coords)
   165309    0.052    0.000    0.081    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:232(_keep_alive)
    55458    0.043    0.000    0.257    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1831(get_defender_coords)
    11600    0.040    0.000    0.071    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1342(_apply_multi_defender_offsets)
   379887    0.039    0.000    0.059    0.000 {built-in method builtins.min}
      298    0.038    0.000    4.594    0.015 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
   698067    0.036    0.000    0.036    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:173(_deepcopy_atomic)
      113    0.036    0.000    0.116    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)
   363010    0.036    0.000    0.039    0.000 {built-in method builtins.max}
    69256    0.029    0.000    0.045    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
   237571    0.025    0.000    0.025    0.000 {built-in method builtins.getattr}
    38884    0.024    0.000    0.059    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:295(randrange)
     3614    0.021    0.000    0.021    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      220    0.021    0.000    0.077    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:442(calc_skeleton_step_timing_contract)
       46    0.021    0.000    0.021    0.000 {built-in method bson._cbson._decode_all}
71605/71278    0.020    0.000    0.098    0.000 {built-in method builtins.next}
    18428    0.018    0.000    0.028    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:45(_attack_drive_defender_override)
      298    0.017    0.000    0.026    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1507(defender_grid_from_animations)
    16431    0.017    0.000    0.023    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pass_contest.py:104(_project_onto_segment)
    17719    0.017    0.000    0.029    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:333(_extract_step_location_coords)
     9541    0.016    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:631(_find_closest_spot_in_zone_to_point)
      384    0.015    0.000    0.024    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:953(get_team_game_stats)
    15698    0.015    0.000    0.028    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/defense_identity.py:271(resolve_to_defense_id)
     3614    0.014    0.000    0.035    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:298(__init__)
    29729    0.013    0.000    0.035    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:345(choice)
    12716    0.013    0.000    0.022    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     6708    0.012    0.000    0.019    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1789(_apply_defender_posture)
     8403    0.012    0.000    0.037    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:352(_ag_grid_per_game_sec)
    95179    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
      122    0.011    0.000    2.893    0.024 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6169(_resolve_hco_offense_shot_dynamic)
     3614    0.011    0.000    0.021    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1594(findCaller)
    69/62    0.011    0.000    0.337    0.005 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
    22424    0.010    0.000    0.016    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:910(<genexpr>)
 2886/200    0.010    0.000    9.774    0.049 /Users/jamesdavies/gob-simplified/BackEnd/utils/sim_profiler.py:105(wrapper)
    38884    0.010    0.000    0.069    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:336(randint)
     7102    0.010    0.000    0.014    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:197(_player_lookup_by_id)
    30079    0.009    0.000    0.013    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:672(_map_deep_location_to_zone_location)
   116652    0.009    0.000    0.009    0.000 {built-in method _operator.index}
    15165    0.009    0.000    0.013    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1445(verify_defender_closer_to_basket)
       92    0.009    0.000    0.088    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/shot_manager.py:584(resolve_shot)
    20626    0.009    0.000    0.014    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1110(<genexpr>)
      324    0.009    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3576(sync_lineup_coords_from_turn)
    39960    0.008    0.000    0.008    0.000 {built-in method builtins.round}
    18544    0.008    0.000    0.010    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:74(_home_spot_coords)
    13722    0.008    0.000    0.035    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/defense_identity.py:219(canonical_scouting_defense_key)
    62042    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
    69256    0.008    0.000    0.008    0.000 {method 'bit_length' of 'int' objects}
   105310    0.008    0.000    0.008    0.000 {method 'getrandbits' of '_random.Random' objects}
      105    0.008    0.000    4.334    0.041 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7250(resolve_half_court_offense_logic)
13337/4625    0.008    0.000    0.591    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
    15165    0.008    0.000    0.012    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1423(get_spacing)
     1646    0.008    0.000    0.015    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:4855(_hco_step_def_xy)
    17298    0.007    0.000    0.009    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/defense_identity.py:180(_ensure_cache)


