=== BY CUMULATIVE TIME (top 80) ===
         24237760 function calls (22111934 primitive calls) in 7.169 seconds

   Ordered by: cumulative time
   List reduced from 1927 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    39615    0.032    0.000    0.187    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1858(get_defender_coords)
      159    0.032    0.000    0.108    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)
     7972    0.027    0.000    0.047    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1369(_apply_multi_defender_offsets)
   239902    0.025    0.000    0.037    0.000 {built-in method builtins.min}
235018/235017    0.024    0.000    0.026    0.000 {built-in method builtins.max}
    55835    0.022    0.000    0.034    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
      246    0.021    0.000    0.075    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:443(calc_skeleton_step_timing_contract)
   195470    0.020    0.000    0.020    0.000 {built-in method builtins.getattr}
    33613    0.019    0.000    0.047    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:295(randrange)
      137    0.019    0.000    1.678    0.012 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
       42    0.019    0.000    0.019    0.000 {built-in method bson._cbson._decode_all}
      406    0.016    0.000    0.025    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:957(get_team_game_stats)
    17770    0.015    0.000    0.026    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:334(_extract_step_location_coords)
      366    0.014    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1507(defender_grid_from_animations)
    43/41    0.014    0.000    0.246    0.006 /Users/jamesdavies/gob-simplified/.venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
    15206    0.014    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:45(_attack_drive_defender_override)
      137    0.013    0.000    1.539    0.011 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
    13448    0.013    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pass_contest.py:104(_project_onto_segment)
      141    0.013    0.000    2.270    0.016 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6318(_resolve_hco_offense_shot_dynamic)
     4098    0.012    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5235(_hco_nearest_def_dist)
    12903    0.012    0.000    0.023    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/defense_identity.py:271(resolve_to_defense_id)
     6262    0.012    0.000    0.019    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1816(_apply_defender_posture)
     7065    0.012    0.000    0.012    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:658(_find_closest_spot_in_zone_to_point)
    21773    0.009    0.000    0.011    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:74(_home_spot_coords)
    21659    0.009    0.000    0.024    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:345(choice)
 3185/206    0.009    0.000    6.845    0.033 /Users/jamesdavies/gob-simplified/BackEnd/utils/sim_profiler.py:105(wrapper)
     9626    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
14823/5522    0.009    0.000    0.561    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
     2033    0.008    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:4926(_hco_step_def_xy)
      127    0.008    0.000    3.391    0.027 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7470(resolve_half_court_offense_logic)
      332    0.008    0.000    0.016    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3628(sync_lineup_coords_from_turn)
    38939    0.008    0.000    0.008    0.000 {built-in method builtins.round}
    14862    0.008    0.000    0.012    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:937(<genexpr>)
    55818    0.008    0.000    0.008    0.000 {built-in method math.hypot}
    33613    0.008    0.000    0.055    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:336(randint)
    59784    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
     5438    0.007    0.000    0.023    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:352(_ag_grid_per_game_sec)
    67912    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
   100839    0.007    0.000    0.007    0.000 {built-in method _operator.index}
    21578    0.007    0.000    0.027    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:86(_spot_display_coords)
    12107    0.007    0.000    0.010    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2274(derive_pts_from_shooting_stats)
     6620    0.007    0.000    0.011    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/sim_profiler.py:50(span)
    12356    0.007    0.000    0.024    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:4939(_coord)
    10442    0.007    0.000    0.016    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:2210(debug)
    21773    0.007    0.000    0.009    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:79(_display_coords)
    11076    0.007    0.000    0.010    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1472(verify_defender_closer_to_basket)
     4800    0.006    0.000    0.009    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:197(_player_lookup_by_id)
    21190    0.006    0.000    0.008    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:699(_map_deep_location_to_zone_location)
    13624    0.006    0.000    0.010    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1137(<genexpr>)


