=== BY CUMULATIVE TIME (top 80) ===
         48140739 function calls (40876000 primitive calls) in 18.358 seconds

   Ordered by: cumulative time
   List reduced from 2011 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.223    0.014 /Users/jamesdavies/gob-simplified/BackEnd/engine/dynamic_fcp_step_emitter.py:15(build_dynamic_fcp_animation_steps)
  4379747    0.205    0.000    0.205    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:173(_deepcopy_atomic)
      532    0.001    0.000    0.197    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:181(_schema_projection)
   917524    0.127    0.000    0.185    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1436(_safe_key)
      373    0.001    0.000    0.185    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:2441(update_team_stats)
       24    0.000    0.000    0.185    0.008 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:422(_get_or_compute_team_fill_order)
        2    0.001    0.000    0.185    0.092 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:370(compute_team_fill_order)
      746    0.095    0.000    0.184    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:1052(update_team_stats)
        2    0.000    0.000    0.184    0.092 /Users/jamesdavies/gob-simplified/BackEnd/utils/playbook_weights_utils.py:265(compute_position_shot_weights)
      212    0.001    0.000    0.181    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:164(_apply_set_play_runtime_position_mapping)
      338    0.002    0.000    0.168    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:123(_state_from_step)
      362    0.001    0.000    0.166    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:78(project_pressure_step_states_to_animation_steps)
    30447    0.027    0.000    0.165    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1858(get_defender_coords)
  1639424    0.164    0.000    0.164    0.000 {method 'append' of 'list' objects}
    32865    0.098    0.000    0.156    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)




=== BY TOTAL (SELF) TIME (top 80) ===
         48140739 function calls (40876000 primitive calls) in 18.358 seconds

   Ordered by: internal time
   List reduced from 2011 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/2    6.095    2.032    0.351    0.175 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
5292582/19626    2.899    0.000    6.353    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
 14142321    1.440    0.000    1.440    0.000 {method 'get' of 'dict' objects}
  151/147    1.182    0.008    1.182    0.008 {method 'read' of '_ssl._SSLSocket' objects}
702137/19342    1.080    0.000    6.324    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
1116308/323    0.758    0.000    1.196    0.004 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1446(convert_players)
  7114909    0.452    0.000    0.452    0.000 {built-in method builtins.id}
5199694/5199462    0.374    0.000    0.375    0.000 {built-in method builtins.isinstance}
   329183    0.362    0.000    0.523    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
   901245    0.235    0.000    0.382    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:232(_keep_alive)
  4379747    0.205    0.000    0.205    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:173(_deepcopy_atomic)
     76/1    0.180    0.002    0.000    0.000 {method 'poll' of 'select.poll' objects}
  1639424    0.164    0.000    0.164    0.000 {method 'append' of 'list' objects}
     5597    0.136    0.000    1.251    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1070(assign_all_zone_defenders)
198971/7610    0.129    0.000    5.598    0.001 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
   917524    0.127    0.000    0.185    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1436(_safe_key)
  1104922    0.123    0.000    0.123    0.000 {method 'items' of 'dict' objects}
   329183    0.114    0.000    0.663    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:557(_point_in_zone)
    78/65    0.112    0.001    0.295    0.005 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
     92/0    0.103    0.001    0.000          {built-in method time.sleep}
    32865    0.098    0.000    0.156    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
      178    0.097    0.001    1.617    0.009 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
      746    0.095    0.000    0.184    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:1052(update_team_stats)
  1069156    0.084    0.000    0.084    0.000 {built-in method builtins.len}
    10357    0.065    0.000    0.291    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:911(_resolve_overlap_assignments)
      185    0.063    0.000   10.991    0.059 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(run_micro_turn)
     5597    0.046    0.000    0.349    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:877(_detect_overlapping_zones)
    30447    0.045    0.000    0.101    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1521(calculate_defender_coords)
    18976    0.044    0.000    0.267    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:720(assign_zone_defender_coords)
      202    0.042    0.000    0.142    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)
363431/363255    0.038    0.000    0.072    0.000 {built-in method builtins.next}
   378192    0.035    0.000    0.035    0.000 {built-in method builtins.abs}
   204974    0.034    0.000    0.034    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3257(get_away_player_coords)
  151/147    0.034    0.000    1.269    0.009 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
      380    0.033    0.000    1.818    0.005 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
   237412    0.029    0.000    0.029    0.000 {built-in method builtins.getattr}
   329181    0.029    0.000    0.029    0.000 {built-in method builtins.iter}
    30447    0.027    0.000    0.165    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1858(get_defender_coords)
   206163    0.025    0.000    0.033    0.000 {built-in method builtins.min}
   208527    0.024    0.000    0.026    0.000 {built-in method builtins.max}
  151/147    0.020    0.000    1.483    0.010 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
    47814    0.020    0.000    0.032    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
     5597    0.020    0.000    0.036    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1369(_apply_multi_defender_offsets)
      218    0.020    0.000    0.076    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:446(calc_skeleton_step_timing_contract)
    30037    0.019    0.000    0.048    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:295(randrange)
       50    0.017    0.000    0.017    0.000 {built-in method bson._cbson._decode_all}
    13935    0.016    0.000    0.033    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:180(_player_effective_slot_rating)
      392    0.016    0.000    0.027    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:1094(get_team_game_stats)
     7194    0.015    0.000    0.025    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1816(_apply_defender_posture)
    15755    0.015    0.000    0.027    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:337(_extract_step_location_coords)
      380    0.014    0.000    0.022    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1507(defender_grid_from_animations)
    13863    0.013    0.000    0.022    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:45(_attack_drive_defender_override)
     3625    0.013    0.000    0.018    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5236(_hco_nearest_def_dist)
      124    0.013    0.000    1.912    0.015 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6342(_resolve_hco_offense_shot_dynamic)
    10884    0.012    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pass_contest.py:106(_project_onto_segment)
    12014    0.012    0.000    0.020    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    51824    0.011    0.000    0.011    0.000 {built-in method builtins.round}
     7751    0.011    0.000    0.035    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:352(_ag_grid_per_game_sec)
    10150    0.011    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/defense_identity.py:302(resolve_to_defense_id)
    20331    0.010    0.000    0.012    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:76(_home_spot_coords)
     6397    0.010    0.000    0.014    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:197(_player_lookup_by_id)
      532    0.010    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:150(_players_state)
    78778    0.009    0.000    0.009    0.000 {built-in method builtins.hasattr}
      325    0.009    0.000    0.019    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3683(sync_lineup_coords_from_turn)
     5307    0.009    0.000    0.010    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:658(_find_closest_spot_in_zone_to_point)
        3    0.009    0.003    5.108    1.703 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:4189(_preview_non_hco_eoq_turn)
      107    0.009    0.000    3.022    0.028 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7491(resolve_half_court_offense_logic)
       82    0.009    0.000    0.077    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/shot_manager.py:636(resolve_shot)
    90111    0.008    0.000    0.008    0.000 {built-in method _operator.index}
    53158    0.008    0.000    0.008    0.000 {built-in method math.hypot}
     1775    0.008    0.000    0.016    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:4927(_hco_step_def_xy)
    16977    0.008    0.000    0.022    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:345(choice)
    30037    0.008    0.000    0.056    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:336(randint)
    11998    0.008    0.000    0.012    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2281(derive_pts_from_shooting_stats)
       24    0.008    0.000    0.060    0.002 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:439(solve_best_assignment)
    20156    0.008    0.000    0.029    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:88(_spot_display_coords)
    54047    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
    20331    0.007    0.000    0.010    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:81(_display_coords)
      290    0.007    0.000    0.078    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:190(_project_from_formal_state)
    19754    0.007    0.000    0.008    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:488(_coord)


