=== BY CUMULATIVE TIME (top 80) ===
         22631266 function calls (20647857 primitive calls) in 7.201 seconds

   Ordered by: cumulative time
   List reduced from 2313 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   629653    0.034    0.000    0.034    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:173(_deepcopy_atomic)
  219/211    0.033    0.000    1.943    0.009 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
       57    0.028    0.000    0.029    0.001 {built-in method bson._cbson._decode_all}
    13406    0.026    0.000    0.234    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:693(assign_zone_defender_coords)
      203    0.026    0.000    1.786    0.009 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
   187728    0.023    0.000    0.023    0.000 {built-in method builtins.getattr}
    57/25    0.023    0.000    1.072    0.043 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/helpers.py:316(inner)
   133868    0.021    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3156(get_away_player_coords)
   181438    0.020    0.000    0.027    0.000 {built-in method builtins.min}
   102/51    0.019    0.000    2.129    0.042 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/_csot.py:100(csot_wrapper)
   188075    0.019    0.000    0.021    0.000 {built-in method builtins.max}
    25625    0.019    0.000    0.129    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1831(get_defender_coords)
      224    0.017    0.000    0.066    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:442(calc_skeleton_step_timing_contract)
    43915    0.017    0.000    0.027    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
     3449    0.017    0.000    0.017    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    27720    0.016    0.000    0.040    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:295(randrange)
     4542    0.015    0.000    0.027    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1342(_apply_multi_defender_offsets)
  219/211    0.015    0.000    1.763    0.008 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
      398    0.015    0.000    0.025    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:957(get_team_game_stats)
     6929    0.014    0.000    0.022    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1789(_apply_defender_posture)
