=== BY CUMULATIVE TIME (top 80) ===
         35591607 function calls (30782405 primitive calls) in 18.430 seconds

   Ordered by: cumulative time
   List reduced from 2047 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      437    0.006    0.000    0.649    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:10108(_get_skeleton_from_team_plays)
      6/3    0.001    0.000    0.602    0.201 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:816(_hello)
      519    0.002    0.000    0.598    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:2459(update_team_stats)
     1038    0.320    0.000    0.596    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:1052(update_team_stats)
       40    0.002    0.000    0.589    0.015 /Users/jamesdavies/gob-simplified/BackEnd/utils/plays_catalog.py:121(doc_by_id)
     4152    0.078    0.000    0.587    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:877(_detect_overlapping_zones)
    70/64    0.551    0.008    0.566    0.009 {method 'read' of '_ssl._SSLSocket' objects}
    64/63    0.001    0.000    0.547    0.009 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:1614(checkout)
     2037    0.005    0.000    0.542    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/uuid.py:710(uuid4)
      3/2    0.001    0.000    0.532    0.266 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:264(__init__)
  3914422    0.519    0.000    0.519    0.000 {built-in method builtins.id}
  1165719    0.338    0.000    0.494    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1436(_safe_key)
      267    0.143    0.001    0.484    0.002 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)
     8401    0.118    0.000    0.479    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:911(_resolve_overlap_assignments)




=== BY TOTAL (SELF) TIME (top 80) ===
         35591607 function calls (30782405 primitive calls) in 18.430 seconds

   Ordered by: internal time
   List reduced from 2047 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2887977/25216    3.243    0.000    7.053    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:119(deepcopy)
1482425/435    2.075    0.000    3.904    0.009 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1446(convert_players)
  9498445    1.990    0.000    1.990    0.000 {method 'get' of 'dict' objects}
445464/25076    1.377    0.000    6.976    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:218(_deepcopy_dict)
6632322/6632058    1.054    0.000    1.057    0.000 {built-in method builtins.isinstance}
   241598    0.623    0.000    0.868    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:390(_point_in_polygon)
    70/64    0.551    0.008    0.566    0.009 {method 'read' of '_ssl._SSLSocket' objects}
  3914422    0.519    0.000    0.519    0.000 {built-in method builtins.id}
  1165719    0.338    0.000    0.494    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1436(_safe_key)
     1038    0.320    0.000    0.596    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:1052(update_team_stats)
   500420    0.286    0.000    0.458    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:232(_keep_alive)
270551/256883    0.253    0.000    0.851    0.000 {built-in method builtins.next}
      254    0.249    0.001   16.191    0.064 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1432(run_micro_turn)
     4152    0.230    0.000    2.048    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1070(assign_all_zone_defenders)
  2371247    0.215    0.000    0.215    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:173(_deepcopy_atomic)
   897204    0.208    0.000    0.208    0.000 {method 'items' of 'dict' objects}
   936814    0.207    0.000    0.207    0.000 {method 'append' of 'list' objects}
   241598    0.179    0.000    1.088    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:557(_point_in_zone)
      117    0.145    0.001    2.337    0.020 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1835(_position_zone_defenders)
      267    0.143    0.001    0.484    0.002 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)
   856648    0.139    0.000    0.139    0.000 {built-in method builtins.len}
    23685    0.128    0.000    0.189    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:363(_get_zone_coords)
     8401    0.118    0.000    0.479    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:911(_resolve_overlap_assignments)
    120/0    0.115    0.001    0.000          {built-in method time.sleep}
    121/2    0.112    0.001    0.000    0.000 {method 'poll' of 'select.poll' objects}
    28608    0.104    0.000    0.229    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1521(calculate_defender_coords)
      384    0.083    0.000    2.995    0.008 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
54670/25982    0.080    0.000    4.755    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
     4152    0.078    0.000    0.587    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:877(_detect_overlapping_zones)
   279220    0.075    0.000    0.076    0.000 {built-in method builtins.getattr}
    64/50    0.075    0.001    0.972    0.019 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:328(_receive_data_on_socket)
    13085    0.066    0.000    0.415    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:720(assign_zone_defender_coords)
   308179    0.057    0.000    0.057    0.000 {built-in method builtins.abs}
      548    0.054    0.000    0.087    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:1094(get_team_game_stats)
    16266    0.049    0.000    0.100    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:180(_player_effective_slot_rating)
    11059    0.047    0.000    0.076    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1816(_apply_defender_posture)
    48298    0.047    0.000    0.075    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
    28596    0.046    0.000    0.368    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1858(get_defender_coords)
   241402    0.046    0.000    0.046    0.000 {built-in method builtins.iter}
   181537    0.046    0.000    0.059    0.000 {built-in method builtins.min}
   190697    0.045    0.000    0.049    0.000 {built-in method builtins.max}
      258    0.045    0.000    0.161    0.001 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:447(calc_skeleton_step_timing_contract)
    30378    0.044    0.000    0.106    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:295(randrange)
    70/64    0.040    0.001    0.701    0.011 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
      384    0.038    0.000    0.056    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1507(defender_grid_from_animations)
    16392    0.036    0.000    0.063    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    71974    0.035    0.000    0.035    0.000 {built-in method builtins.round}
    10687    0.034    0.000    0.107    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:352(_ag_grid_per_game_sec)
     4152    0.034    0.000    0.061    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1369(_apply_multi_defender_offsets)
    15914    0.033    0.000    0.053    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:45(_attack_drive_defender_override)
    15298    0.033    0.000    0.057    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:338(_extract_step_location_coords)
   103317    0.029    0.000    0.029    0.000 {built-in method builtins.hasattr}
    27624    0.029    0.000    0.034    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:76(_home_spot_coords)
     9063    0.028    0.000    0.042    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:197(_player_lookup_by_id)
      432    0.028    0.000    0.058    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3683(sync_lineup_coords_from_turn)
      144    0.026    0.000    3.522    0.024 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6342(_resolve_hco_offense_shot_dynamic)
    63552    0.026    0.000    0.026    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3257(get_away_player_coords)
    10366    0.026    0.000    0.035    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pass_contest.py:106(_project_onto_segment)
      632    0.026    0.000    0.054    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:150(_players_state)
      432    0.025    0.000    0.216    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:835(_append_turn)
      127    0.024    0.000    5.585    0.044 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7491(resolve_half_court_offense_logic)
       34    0.024    0.001    0.179    0.005 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:452(solve_best_assignment)
     3190    0.023    0.000    0.033    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:5236(_hco_nearest_def_dist)
      108    0.023    0.000    0.202    0.002 /Users/jamesdavies/gob-simplified/BackEnd/models/shot_manager.py:661(resolve_shot)
    66557    0.023    0.000    0.023    0.000 {built-in method math.hypot}
    16114    0.022    0.000    0.034    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2281(derive_pts_from_shooting_stats)
      254    0.022    0.000   17.243    0.068 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1459(simulate_macro_turn)
   123/99    0.022    0.000    0.970    0.010 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
    27504    0.020    0.000    0.080    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:88(_spot_display_coords)
     8708    0.020    0.000    0.041    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/defense_identity.py:302(resolve_to_defense_id)
    27624    0.020    0.000    0.027    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:81(_display_coords)
    16556    0.020    0.000    0.032    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/db_utils.py:155(_player_slot_rating)
      380    0.019    0.000    0.201    0.001 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:190(_project_from_formal_state)
     3638    0.018    0.000    0.018    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/player.py:263(_rescale_attributes)
    16770    0.018    0.000    0.050    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:345(choice)
     1658    0.018    0.000    0.034    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:4927(_hco_step_def_xy)
    10881    0.018    0.000    0.041    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:2210(debug)
    30378    0.017    0.000    0.124    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:336(randint)
    55686    0.017    0.000    0.017    0.000 {method 'lower' of 'str' objects}
    23628    0.017    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:488(_coord)


